@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,277,0,2762,0,1,1,0.091148,1,0.908852,0.167069,1,1,0
1,234,43,1157,1605,0.418899,0.844765,0.168224,0.844765,0.831776,0.280576,0.457716,1.845609,0.1
2,184,93,404,2358,0.146271,0.66426,0.312925,0.66426,0.687075,0.425434,0.193485,3.433139,0.2
3,134,143,130,2632,0.047067,0.483755,0.507576,0.483755,0.492424,0.495379,0.086871,5.568674,0.3
4,98,179,51,2711,0.018465,0.353791,0.657718,0.353791,0.342282,0.460094,0.049029,7.215904,0.4
5,82,195,14,2748,0.005069,0.296029,0.854167,0.296029,0.145833,0.439678,0.031589,9.371164,0.5
6,63,214,4,2758,0.001448,0.227437,0.940299,0.227437,0.059701,0.366279,0.022047,10.316127,0.6
7,44,233,3,2759,0.001086,0.158845,0.93617,0.158845,0.06383,0.271605,0.015466,10.270835,0.7
8,23,254,1,2761,0.000362,0.083032,0.958333,0.083032,0.041667,0.152824,0.007897,10.513989,0.8
9,8,269,1,2761,0.000362,0.028881,0.888889,0.028881,0.111111,0.055944,0.002962,?,0.9
10,1,276,0,2762,0,0.00361,1,0.00361,0,0.007194,0.000329,?,1
11,0,277,0,2762,0,0,0,0,0,0,0,?,1.00001
